SEXO;EDAD;P1;ECOPER;ECOESP;PESPANNA1;PPERSONAL1;RECUVOTOG1;PROBVOTO;ESCIDEOL;NIVELESTENTREV;RELIGION;ECIVIL;SITLAB;RELALAB;CNO11;INGRESHOG;CLASESOCIAL
2;34;2;4;4;8;8;3;10;9;5;2;2;1;1;4;6;12
1;53;1;2;4;51;51;2;5;7;7;6;5;1;1;1;1;3
1;72;1;1;2;58;97;1;10;3;9;4;1;2;0;0;1;99
1;54;5;2;4;1;1;3;10;9;5;2;1;1;1;5;2;3
1;34;2;2;4;51;8;1;5;5;5;6;2;1;1;5;3;3
1;63;4;3;5;24;20;3;10;6;11;1;2;1;3;3;5;96
1;74;1;2;4;8;8;1;10;5;11;6;1;2;0;0;2;3
1;53;4;2;4;46;8;2;10;8;13;2;1;1;2;5;1;2
1;21;2;8;2;25;22;21;10;3;6;5;2;6;0;0;5;5
1;56;2;2;2;20;80;21;10;3;6;5;1;1;3;6;2;5
2;18;2;2;5;8;58;2;10;10;5;3;2;1;4;5;1;3
1;73;1;2;2;50;29;1;10;4;12;2;1;2;0;0;3;3
2;22;1;2;2;52;1;21;10;1;10;6;2;6;0;0;3;2
1;45;2;2;2;20;20;1;8;3;13;4;1;1;1;10;4;5
2;72;3;2;4;54;8;2;10;6;6;2;1;7;0;0;5;3
2;56;1;1;2;1;1;2;10;8;13;2;1;1;1;3;2;2
1;46;2;2;2;46;8;2;8;5;11;2;1;1;2;1;2;3
1;29;2;2;4;1;80;2;10;6;6;2;1;1;3;6;4;3
2;45;2;2;4;9;9;2;10;7;10;2;1;4;0;0;4;3
2;46;2;2;2;77;6;21;10;1;5;6;1;4;0;0;3;5
1;46;2;4;4;51;9;3;10;8;5;2;1;1;1;7;4;4
2;52;1;3;4;8;24;2;10;8;9;1;3;1;3;5;4;3
2;67;5;2;5;46;97;2;10;5;11;1;2;2;0;0;4;3
2;58;1;4;4;11;1;2;10;10;4;2;1;4;0;0;4;12
1;58;1;2;4;13;16;21;10;1;11;1;5;1;1;2;3;3
1;58;5;2;4;50;97;2;10;8;7;2;2;1;1;5;5;3
2;38;1;2;4;49;8;1;10;3;13;4;2;1;2;1;3;3
2;57;4;2;4;8;8;2;10;5;11;1;2;1;3;3;3;3
2;68;1;2;3;1;80;1;10;1;1;1;3;2;0;0;4;3
2;39;2;2;5;1;98;21;10;1;6;2;2;1;1;5;4;3
1;71;4;2;4;46;78;2;10;6;11;2;3;2;0;0;4;3
2;56;1;2;3;8;52;1;10;3;6;5;1;1;1;2;2;3
2;41;4;2;2;15;9;1;10;3;6;6;2;1;1;5;5;12
2;49;1;1;4;46;22;2;10;5;11;2;1;1;1;2;3;1
1;53;1;2;4;8;8;21;9;4;3;2;2;2;0;0;5;12
1;54;2;2;2;51;20;3;10;5;6;2;1;1;1;7;4;4
2;45;2;2;4;8;8;1;10;1;13;4;2;2;0;0;5;4
2;22;1;2;2;8;8;2;9;4;6;5;2;6;0;0;4;3
